                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      1.000000 Msun            Mc/Mtot     = -1.55336E-03
 Rtot =      0.989686 Rsun            Rc/Rtot     =  3.40000E-02
 Ltot =      1.000000 Lsun            Lc/Ltot     =  4.91427E-01
 Teff =   5800.000000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.750000                 Temperature =  0.00000E+00 K
 Y    =      0.248000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.002000                 epsilon     =  0.00000E+00 ergs/s/g
                                      dlnP/dlnT   =  2.49927E+00

 
 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  1.989000E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  4.77E+10 6.49E-03 3.83E+33 1.37E+06 2.03E+13 1.06E-01 5.21E+00 7.64E-09 r  4.4
  4.77E+10 6.39E-03 3.83E+33 1.37E+06 1.99E+13 1.04E-01 5.22E+00 7.19E-09 r  4.4
  4.78E+10 6.28E-03 3.83E+33 1.36E+06 1.95E+13 1.03E-01 5.24E+00 6.76E-09 r  4.4
  4.79E+10 6.18E-03 3.83E+33 1.36E+06 1.91E+13 1.01E-01 5.25E+00 6.36E-09 r  4.4
  4.79E+10 6.08E-03 3.83E+33 1.35E+06 1.87E+13 9.94E-02 5.26E+00 5.98E-09 r  4.4
  4.80E+10 5.98E-03 3.83E+33 1.34E+06 1.83E+13 9.78E-02 5.27E+00 5.62E-09 r  4.4
  4.81E+10 5.88E-03 3.83E+33 1.34E+06 1.79E+13 9.62E-02 5.28E+00 5.28E-09 r  4.4
  4.81E+10 5.79E-03 3.83E+33 1.33E+06 1.75E+13 9.46E-02 5.29E+00 4.96E-09 r  4.4
  4.82E+10 5.69E-03 3.83E+33 1.32E+06 1.72E+13 9.31E-02 5.30E+00 4.66E-09 r  4.4
  4.83E+10 5.60E-03 3.83E+33 1.32E+06 1.68E+13 9.16E-02 5.31E+00 4.38E-09 r  4.4
  4.84E+10 5.51E-03 3.83E+33 1.31E+06 1.64E+13 9.01E-02 5.32E+00 4.11E-09 r  4.4
  4.84E+10 5.42E-03 3.83E+33 1.30E+06 1.61E+13 8.86E-02 5.33E+00 3.86E-09 r  4.4
  4.85E+10 5.33E-03 3.83E+33 1.30E+06 1.58E+13 8.72E-02 5.34E+00 3.62E-09 r  4.4
  4.86E+10 5.24E-03 3.83E+33 1.29E+06 1.54E+13 8.57E-02 5.35E+00 3.40E-09 r  4.4
  4.86E+10 5.15E-03 3.83E+33 1.29E+06 1.51E+13 8.43E-02 5.36E+00 3.19E-09 r  4.4
  4.87E+10 5.06E-03 3.83E+33 1.28E+06 1.48E+13 8.29E-02 5.37E+00 2.99E-09 r  4.4
  4.88E+10 4.98E-03 3.83E+33 1.27E+06 1.45E+13 8.15E-02 5.39E+00 2.81E-09 r  4.4
  4.88E+10 4.90E-03 3.83E+33 1.27E+06 1.41E+13 8.02E-02 5.40E+00 2.63E-09 r  4.4
  4.89E+10 4.81E-03 3.83E+33 1.26E+06 1.38E+13 7.89E-02 5.41E+00 2.47E-09 r  4.4
  4.90E+10 4.73E-03 3.83E+33 1.25E+06 1.35E+13 7.76E-02 5.42E+00 2.31E-09 r  4.4
  4.90E+10 4.65E-03 3.83E+33 1.25E+06 1.33E+13 7.63E-02 5.43E+00 2.17E-09 r  4.4
  4.91E+10 4.57E-03 3.83E+33 1.24E+06 1.30E+13 7.50E-02 5.44E+00 2.03E-09 r  4.4
  4.92E+10 4.49E-03 3.83E+33 1.24E+06 1.27E+13 7.37E-02 5.45E+00 1.90E-09 r  4.4
  4.93E+10 4.42E-03 3.83E+33 1.23E+06 1.24E+13 7.25E-02 5.47E+00 1.78E-09 r  4.4
  4.93E+10 4.34E-03 3.83E+33 1.22E+06 1.21E+13 7.13E-02 5.48E+00 1.67E-09 r  4.4
  4.94E+10 4.27E-03 3.83E+33 1.22E+06 1.19E+13 7.01E-02 5.49E+00 1.56E-09 r  4.4
  4.95E+10 4.19E-03 3.83E+33 1.21E+06 1.16E+13 6.89E-02 5.50E+00 1.46E-09 r  4.4
  4.95E+10 4.12E-03 3.83E+33 1.21E+06 1.14E+13 6.77E-02 5.51E+00 1.37E-09 r  4.4
  4.96E+10 4.05E-03 3.83E+33 1.20E+06 1.11E+13 6.66E-02 5.52E+00 1.28E-09 r  4.4
  4.97E+10 3.98E-03 3.83E+33 1.19E+06 1.09E+13 6.54E-02 5.54E+00 1.20E-09 r  4.4
  4.97E+10 3.91E-03 3.83E+33 1.19E+06 1.06E+13 6.43E-02 5.55E+00 1.12E-09 r  4.4
  4.98E+10 3.84E-03 3.83E+33 1.18E+06 1.04E+13 6.32E-02 5.56E+00 1.04E-09 r  4.4
  4.99E+10 3.77E-03 3.83E+33 1.18E+06 1.02E+13 6.21E-02 5.57E+00 9.76E-10 r  4.4
  4.99E+10 3.70E-03 3.83E+33 1.17E+06 9.95E+12 6.11E-02 5.58E+00 9.12E-10 r  4.4
  5.00E+10 3.64E-03 3.83E+33 1.16E+06 9.73E+12 6.00E-02 5.59E+00 8.52E-10 r  4.4
  5.01E+10 3.57E-03 3.83E+33 1.16E+06 9.51E+12 5.90E-02 5.61E+00 7.95E-10 r  4.4
  5.01E+10 3.51E-03 3.83E+33 1.15E+06 9.30E+12 5.79E-02 5.62E+00 7.43E-10 r  4.4
  5.02E+10 3.45E-03 3.83E+33 1.15E+06 9.09E+12 5.69E-02 5.63E+00 6.93E-10 r  4.4
  5.03E+10 3.38E-03 3.83E+33 1.14E+06 8.89E+12 5.60E-02 5.64E+00 6.47E-10 r  4.4
  5.04E+10 3.32E-03 3.83E+33 1.13E+06 8.69E+12 5.50E-02 5.66E+00 6.03E-10 r  4.4
  5.04E+10 3.26E-03 3.83E+33 1.13E+06 8.49E+12 5.40E-02 5.67E+00 5.62E-10 r  4.4
  5.05E+10 3.20E-03 3.83E+33 1.12E+06 8.30E+12 5.31E-02 5.68E+00 5.24E-10 r  4.4
