                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      1.500000 Msun            Mc/Mtot     = -6.02913E-04
 Rtot =      1.240758 Rsun            Rc/Rtot     =  1.68000E-01
 Ltot =      1.800000 Lsun            Lc/Ltot     =  9.20677E-01
 Teff =   6000.000000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.700000                 Temperature =  0.00000E+00 K
 Y    =      0.292000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.008000                 epsilon     =  0.00000E+00 ergs/s/g
                                      dlnP/dlnT   =  2.49812E+00


 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  2.983500E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  6.61E+10 2.42E-03 6.89E+33 1.16E+06 4.97E+12 3.21E-02 8.72E+00 3.72E-10 r  4.5
  6.61E+10 2.37E-03 6.89E+33 1.15E+06 4.85E+12 3.14E-02 8.74E+00 3.44E-10 r  4.5
  6.62E+10 2.32E-03 6.89E+33 1.15E+06 4.73E+12 3.08E-02 8.77E+00 3.19E-10 r  4.5
  6.63E+10 2.27E-03 6.89E+33 1.14E+06 4.61E+12 3.02E-02 8.80E+00 2.95E-10 r  4.5
  6.64E+10 2.22E-03 6.89E+33 1.13E+06 4.49E+12 2.96E-02 8.82E+00 2.74E-10 r  4.5
  6.65E+10 2.18E-03 6.89E+33 1.13E+06 4.38E+12 2.90E-02 8.85E+00 2.53E-10 r  4.5
  6.66E+10 2.13E-03 6.89E+33 1.12E+06 4.27E+12 2.84E-02 8.88E+00 2.34E-10 r  4.5
  6.67E+10 2.09E-03 6.89E+33 1.11E+06 4.16E+12 2.79E-02 8.91E+00 2.17E-10 r  4.5
  6.68E+10 2.04E-03 6.89E+33 1.11E+06 4.05E+12 2.73E-02 8.93E+00 2.00E-10 r  4.5
  6.68E+10 2.00E-03 6.89E+33 1.10E+06 3.95E+12 2.68E-02 8.96E+00 1.85E-10 r  4.5
  6.69E+10 1.95E-03 6.89E+33 1.09E+06 3.85E+12 2.62E-02 8.99E+00 1.71E-10 r  4.5
  6.70E+10 1.91E-03 6.89E+33 1.09E+06 3.75E+12 2.57E-02 9.02E+00 1.58E-10 r  4.5
  6.71E+10 1.87E-03 6.89E+33 1.08E+06 3.65E+12 2.52E-02 9.05E+00 1.46E-10 r  4.5
  6.72E+10 1.83E-03 6.89E+33 1.08E+06 3.55E+12 2.47E-02 9.07E+00 1.34E-10 r  4.5
  6.73E+10 1.79E-03 6.89E+33 1.07E+06 3.46E+12 2.42E-02 9.10E+00 1.24E-10 r  4.5
  6.74E+10 1.75E-03 6.89E+33 1.06E+06 3.37E+12 2.37E-02 9.13E+00 1.14E-10 r  4.5
  6.74E+10 1.71E-03 6.89E+33 1.06E+06 3.28E+12 2.32E-02 9.16E+00 1.05E-10 r  4.5
  6.75E+10 1.67E-03 6.89E+33 1.05E+06 3.20E+12 2.27E-02 9.19E+00 9.71E-11 r  4.5
  6.76E+10 1.64E-03 6.89E+33 1.04E+06 3.11E+12 2.22E-02 9.22E+00 8.94E-11 r  4.5
  6.77E+10 1.60E-03 6.89E+33 1.04E+06 3.03E+12 2.18E-02 9.25E+00 8.23E-11 r  4.5
  6.78E+10 1.56E-03 6.89E+33 1.03E+06 2.95E+12 2.13E-02 9.28E+00 7.57E-11 r  4.5
